Student Name,Roll Number,Class,Subject,Marks Obtained,Max Marks,Percentage,Result
Ayaan,2577,9th,English,38,100,38.0,Pass
Ayaan,2577,9th,Mathematics,64,100,64.0,Pass
Ayaan,2577,9th,Science,41,100,41.0,Pass
Ayaan,2577,9th,History,59,100,59.0,Pass
Ayaan,2577,9th,Geography,84,100,84.0,Pass
Simran,1289,9th,English,59,100,59.0,Pass
Simran,1289,9th,Mathematics,61,100,61.0,Pass
Simran,1289,9th,Science,77,100,77.0,Pass
Simran,1289,9th,History,92,100,92.0,Pass
Simran,1289,9th,Geography,92,100,92.0,Pass
Neha,7409,9th,English,35,100,35.0,Pass
Neha,7409,9th,Mathematics,92,100,92.0,Pass
Neha,7409,9th,Science,65,100,65.0,Pass
Neha,7409,9th,History,85,100,85.0,Pass
Neha,7409,9th,Geography,86,100,86.0,Pass
Ishita,3446,9th,English,73,100,73.0,Pass
Ishita,3446,9th,Mathematics,89,100,89.0,Pass
Ishita,3446,9th,Science,82,100,82.0,Pass
Ishita,3446,9th,History,92,100,92.0,Pass
Ishita,3446,9th,Geography,61,100,61.0,Pass
Neha,6832,9th,English,97,100,97.0,Pass
Neha,6832,9th,Mathematics,71,100,71.0,Pass
Neha,6832,9th,Science,65,100,65.0,Pass
Neha,6832,9th,History,86,100,86.0,Pass
Neha,6832,9th,Geography,41,100,41.0,Pass
Vikram,9849,9th,English,79,100,79.0,Pass
Vikram,9849,9th,Mathematics,86,100,86.0,Pass
Vikram,9849,9th,Science,69,100,69.0,Pass
Vikram,9849,9th,History,57,100,57.0,Pass
Vikram,9849,9th,Geography,42,100,42.0,Pass
